Data,Label,Hard_Word_Ratio
সৌরভ গাঙ্গুলী ছাড়া দাদাগিরি কখনো জমে উঠত না,0,0.25
"ক্রিকেট কে বাচাতে হলে পাপকে অতিশিগ্রিই তাকেও গ্রেফতার করে তার সব হিসাব নেওয়া হোক , 100 % সেই বড় দূর্নিতীবাজ ",2,0.2
আমিতো সেই ঝালপ্রিয়ো মানুষ,1,0.25
টেকনিশিয়ান রা খাবার খাইয়ে আবার হজম করিয়ে দিবে আদনান ভায় এর,2,0.18181818181818182
# জনাব_ইসমাইল_চৌধুরী_সম্রাট ভাইয়ের অনতিবিলম্বে নিঃশর্ত মুক্তি চাই,0,0.42857142857142855
ইলুমিনাতির 36 মাস্টার মেশন এর টুপি পরা ভাইয়া আর লিপু ভাইয়া সেই,1,0.4166666666666667
ঘটনা ঘটার পর টনক সবৈরি লড়ে,0,0.6666666666666666
নওসিন বুবু কেন আপনাকে বিয়ে করলো,2,0.3333333333333333
বাপরে আনারসে দাঁত টকে যায় তো দাদা এর সরবত ই ভালো,1,0.36363636363636365
অমায়িক ব্যবহার এই রেস্টুরেন্টের স্টাফদের,1,0.4
পাওয়া উচিত । ভালো হয় যদি ওদের কাস্টোমার কেয়ারে একটু ফোন করে যেনে নেন,1,0.21428571428571427
ভালোবাসা রইল অফুরন্ত আদনান ভাই,1,0.2
মেয়ো আর সসে চুপচুপে সো কল্ড জুসি বার্গারের ভিড়ে উনার বার্গার একেবারেই অন্যরকম,1,0.5384615384615384
"গোপন সুত্রে জানা যায় যে , পাপইন্যা মাদারচোদ প্রতিরাতে লোকমানের সাথে যৌন মিলনে মত্ত থাকে । লোকমানের গুদ মেরে এবং বিচি চেটে পাপন তার কামনা মেটায় । এই কারনে লোকমানকে স্বপদে বহাল রাখা হয়েছে । এটাই আসল নিউজ ",2,0.2894736842105263
স‌ত্যি খুব ভাল লাগল । আ‌মি রানার পুরা ভি‌ডিওটা দেখছি । ঘশা মাঝা কর‌লে রানা অ‌নেক বড় একজন শিল্প হ‌তে পারবে । আশা রাখব যারা এই বিষয়গুলা নি‌য়ে আ‌ছেন তারা ও‌কে সফল হ‌তে সহায়তা কর‌বেন । ধন্যবাদ,1,0.3783783783783784
রুটিওয়ালাকে অতিসত্বর বাংলাদেশ দলে তামিমের জায়গায় নেওয়া হোক । তাহলে আর ক্যাচ মিস হবেনা,2,0.35714285714285715
"অাল্লাহু আকবাৱ , এই গঠনা দ্ধাৱা , ভাল মানুষেৱ মিলন মেলা হল ",1,0.5833333333333334
কুস্টিয়ার কোথায় ? সেটা বলেন,0,0.2
"ভাই ক্যেমরা মেন কে খাওয়ান না , উনার খাবার টা দেখাবেন ",1,0.18181818181818182
"চামুচ ব্যবহার করেন না , সব হাত দিয়ে নিচ্ছেন ",0,0.2222222222222222
"ভদ্রলোকের কথাবার্তা খুবই অমায়িক , বাচনভঙ্গিও ছিল সুন্দর ",1,0.375
ভাই গ্লাবস ব্যাবহার করুন,0,0.25
বাংলাদেশী পুলিস ভড় মাদারচোদ,2,0.25
"এই প্রতারণার মাস্টার মাইন্ড কারা , সরকার কিভাবে এদের মত প্রতারক প্রতিষ্ঠানকে মানুষরের টাকা হাতিয়ে নেয়ার সুযোগ দেয় ",2,0.2777777777777778
আমার টুরিস্ট ভিসা রোগীর সাথে যেতে পারবো তাকে দেখাশুনা করার জন্য,1,0.18181818181818182
